2014-05-14 20:17:44,445 [81] INFO  Umbraco.Core.PluginManager - [Thread 83] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2014-05-14 20:17:44,446 [81] INFO  Umbraco.Core.PluginManager - [Thread 83] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 0ms)
2014-05-14 20:17:44,828 [81] INFO  Merchello.Web.UmbracoApplicationEventListener - Attempting to initialize Merchello
2014-05-14 20:17:44,843 [81] INFO  Umbraco.Core.PluginManager - [Thread 83] Starting resolution types of Merchello.Core.Gateways.GatewayProviderBase
2014-05-14 20:17:44,844 [81] INFO  Umbraco.Core.PluginManager - [Thread 83] Completed resolution of types of Merchello.Core.Gateways.GatewayProviderBase, found 4 (took 0ms)
2014-05-14 20:17:45,091 [81] INFO  Merchello.Web.UmbracoApplicationEventListener - Initialization of Merchello complete
2014-05-14 20:17:45,187 [81] INFO  Merchello.Web.Search.ExamineEvents - [Thread 83] Initializing Merchello ProductIndex binding events
2014-05-14 20:17:45,365 [81] INFO  Merchello.Web.Trees.ServerVariablesParsingEvents - [Thread 83] Initializing Merchello ServerVariablesParsingEvents
2014-05-14 20:17:45,365 [81] INFO  Merchello.Web.UmbracoApplicationEventListener - Checking Merchello DB Schema
2014-05-14 20:17:45,385 [81] INFO  Umbraco.Core.PluginManager - [Thread 83] Starting resolution types of umbraco.interfaces.IApplication
2014-05-14 20:17:45,386 [81] INFO  Umbraco.Core.PluginManager - [Thread 83] Completed resolution of types of umbraco.interfaces.IApplication, found 8 (took 0ms)
2014-05-14 20:17:45,415 [81] INFO  Umbraco.Core.PluginManager - [Thread 83] Starting resolution types of Umbraco.Web.Trees.TreeController
2014-05-14 20:17:45,416 [81] INFO  Umbraco.Core.PluginManager - [Thread 83] Completed resolution of types of Umbraco.Web.Trees.TreeController, found 5 (took 0ms)
2014-05-14 20:17:45,422 [81] INFO  Umbraco.Core.PluginManager - [Thread 83] Starting resolution types of umbraco.interfaces.ITree
2014-05-14 20:17:45,423 [81] INFO  Umbraco.Core.PluginManager - [Thread 83] Completed resolution of types of umbraco.interfaces.ITree, found 19 (took 0ms)
2014-05-14 20:17:45,430 [81] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 83] Initializing Examine and binding to business logic events
2014-05-14 20:17:45,431 [81] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 83] Adding examine event handlers for index providers: 3
2014-05-14 20:18:07,860 [81] INFO  umbraco.content - [Thread 93] Loading content from disk cache...
2014-05-14 20:18:07,924 [81] INFO  Umbraco.Core.PluginManager - [Thread 93] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2014-05-14 20:18:07,925 [81] INFO  Umbraco.Core.PluginManager - [Thread 93] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 22 (took 0ms)
2014-05-14 20:18:08,064 [81] INFO  Umbraco.Core.PluginManager - [Thread 93] Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
2014-05-14 20:18:08,065 [81] INFO  Umbraco.Core.PluginManager - [Thread 93] Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 43 (took 0ms)
2014-05-14 20:22:13,210 [81] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 85] Content 'Merchello Developers Sample Site' with Id '1054' has been published.
2014-05-14 20:22:13,274 [81] INFO  Umbraco.Core.PluginManager - [Thread 85] Starting resolution types of umbraco.interfaces.ICacheRefresher
2014-05-14 20:22:13,275 [81] INFO  Umbraco.Core.PluginManager - [Thread 85] Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 20 (took 0ms)
2014-05-14 20:22:33,917 [81] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 47] Content 'Merchello Developers Sample Site' with Id '1054' has been published.
2014-05-14 20:25:27,695 [81] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 49] Content 'Merchello Developers Sample Site' with Id '1054' has been published.
2014-05-14 20:34:42,643 [81] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 31] Content 'Kitties' with Id '1065' has been published.
2014-05-14 20:35:15,959 [81] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 35] Content 'Doodad' with Id '1057' has been published.
2014-05-14 20:36:23,069 [81] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 35] Content 'Calico' with Id '1057' has been published.
2014-05-14 20:41:02,826 [81] INFO  Umbraco.Core.Publishing.PublishingStrategy - [Thread 96] Content 'Basket' with Id '1062' has been published.
2014-05-14 20:46:15,327 [81] INFO  umbraco.BusinessLogic.Log - [Thread 90] Log scrubbed.  Removed all items older than 2014-03-15 20:46:15
2014-05-14 20:46:15,328 [81] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 90] Application shutdown. Reason: ConfigurationChange
2014-05-14 21:00:47,081 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Determining hash of code files on disk
2014-05-14 21:00:47,090 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Hash determined (took 6ms)
2014-05-14 21:00:47,098 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2014-05-14 21:00:47,320 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 37 (took 221ms)
2014-05-14 21:00:47,365 [6] INFO  Umbraco.Core.PluginManager - [Thread 1] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
